0,3072,2048,255
1,3069,2112,255
2,3063,2176,255
3,3053,2239,255
4,3039,2302,255
5,3021,2364,255
6,3000,2424,255
7,2974,2483,255
8,2945,2541,255
9,2912,2596,255
10,2876,2649,255
11,2837,2700,255
12,2794,2748,255
13,2748,2794,255
14,2700,2837,255
15,2649,2876,255
16,2596,2912,255
17,2541,2945,255
18,2483,2974,255
19,2424,3000,255
20,2364,3021,255
21,2302,3039,255
22,2239,3053,255
23,2176,3063,255
24,2112,3069,255
25,2048,3072,255
26,1984,3069,255
27,1920,3063,255
28,1857,3053,255
29,1794,3039,255
30,1732,3021,255
31,1672,3000,255
32,1613,2974,255
33,1555,2945,255
34,1500,2912,255
35,1447,2876,255
36,1396,2837,255
37,1348,2794,255
38,1302,2748,255
39,1259,2700,255
40,1220,2649,255
41,1184,2596,255
42,1151,2541,255
43,1122,2483,255
44,1096,2424,255
45,1075,2364,255
46,1057,2302,255
47,1043,2239,255
48,1033,2176,255
49,1027,2112,255
50,1024,2048,255
51,1027,1984,255
52,1033,1920,255
53,1043,1857,255
54,1057,1794,255
55,1075,1732,255
56,1096,1672,255
57,1122,1613,255
58,1151,1555,255
59,1184,1500,255
60,1220,1447,255
61,1259,1396,255
62,1302,1348,255
63,1348,1302,255
64,1396,1259,255
65,1447,1220,255
66,1500,1184,255
67,1555,1151,255
68,1613,1122,255
69,1672,1096,255
70,1732,1075,255
71,1794,1057,255
72,1857,1043,255
73,1920,1033,255
74,1984,1027,255
75,2048,1024,255
76,2112,1027,255
77,2176,1033,255
78,2239,1043,255
79,2302,1057,255
80,2364,1075,255
81,2424,1096,255
82,2483,1122,255
83,2541,1151,255
84,2596,1184,255
85,2649,1220,255
86,2700,1259,255
87,2748,1302,255
88,2794,1348,255
89,2837,1396,255
90,2876,1447,255
91,2912,1500,255
92,2945,1555,255
93,2974,1613,255
94,3000,1672,255
95,3021,1732,255
96,3039,1794,255
97,3053,1857,255
98,3063,1920,255
99,3069,1984,255
